State: 0, Action: 0
State: 1, Action: 1
State: 2, Action: 2
State: 3, Action: 0
State: 4, Action: 1
State: 5, Action: 2
State: 6, Action: 2
State: 7, Action: 2
State: 8, Action: 1
State: 9, Action: 0
State: 10, Action: 0
State: 11, Action: 3
State: 12, Action: 1
State: 13, Action: 1
State: 14, Action: 1
State: 15, Action: 1
State: 16, Action: 2
State: 17, Action: 0
State: 18, Action: 0
State: 19, Action: 2
State: 20, Action: 2
State: 21, Action: 2
State: 22, Action: 2
State: 23, Action: 2
State: 24, Action: 3
State: 25, Action: 3
State: 26, Action: 0
State: 27, Action: 1
State: 28, Action: 0
State: 29, Action: 2
State: 30, Action: 0
State: 31, Action: 0
State: 32, Action: 3
State: 33, Action: 1
State: 34, Action: 0
State: 35, Action: 1
State: 36, Action: 2
State: 37, Action: 0
State: 38, Action: 1
State: 39, Action: 0
State: 40, Action: 2
State: 41, Action: 1
State: 42, Action: 1
State: 43, Action: 0
State: 44, Action: 3
State: 45, Action: 1
State: 46, Action: 0
State: 47, Action: 2
State: 48, Action: 2
State: 49, Action: 1
State: 50, Action: 1
State: 51, Action: 3
State: 52, Action: 0
State: 53, Action: 0
State: 54, Action: 3
State: 55, Action: 0
State: 56, Action: 1
State: 57, Action: 0
State: 58, Action: 1
State: 59, Action: 1
State: 60, Action: 3
State: 61, Action: 1
State: 62, Action: 0
State: 63, Action: 0
