|sala             |tempo  |taxa |recompensa|passos |
|1  |0.336  |100.0|98.0      |2.0    |
|2  |0.433  |100.0|97.71     |2.29   |
|3  |2.338  |38.89|-25.78    |64.06  |
|3.1|0.823  |100.0|92.7      |7.3    |
|3.2|0.521  |100.0|95.42     |4.58   |
|4  |1.792  |100.0|87.94     |12.06  |
|5  |9.218  |35.71|-224.19   |259.26 |
|6  |70.496 |96.08|-23.51    |119.5  |
|7  |82.09  |12.77|-2169.4   |2181.3 |
|8  |102.726|11.11|-2656.81  |2667.03|
|9  |11.838 |43.59|-188.26   |228.97 |
|10 |2.162  |86.96|62.26     |24.57  |
|11 |1.22   |100.0|92.79     |7.21   |
|12 |1.445  |100.0|91.26     |8.74   |
