State: 0, Action: 2
State: 1, Action: 1
State: 2, Action: 0
State: 3, Action: 1
State: 4, Action: 1
State: 5, Action: 2
State: 6, Action: 3
State: 7, Action: 0
State: 8, Action: 2
State: 9, Action: 0
State: 10, Action: 1
State: 11, Action: 0
State: 12, Action: 3
State: 13, Action: 0
State: 14, Action: 3
State: 15, Action: 3
State: 16, Action: 3
State: 17, Action: 3
State: 18, Action: 3
State: 19, Action: 2
State: 20, Action: 1
State: 21, Action: 1
State: 22, Action: 3
State: 23, Action: 3
State: 24, Action: 1
State: 25, Action: 2
State: 26, Action: 2
State: 27, Action: 2
State: 28, Action: 0
State: 29, Action: 1
State: 30, Action: 2
State: 31, Action: 3
State: 32, Action: 3
State: 33, Action: 2
State: 34, Action: 1
State: 35, Action: 1
State: 36, Action: 2
State: 37, Action: 3
State: 38, Action: 3
State: 39, Action: 0
State: 40, Action: 3
State: 41, Action: 3
State: 42, Action: 3
State: 43, Action: 1
State: 44, Action: 0
State: 45, Action: 3
State: 46, Action: 1
State: 47, Action: 1
State: 48, Action: 2
State: 49, Action: 2
State: 50, Action: 1
State: 51, Action: 3
State: 52, Action: 3
State: 53, Action: 2
State: 54, Action: 0
State: 55, Action: 2
State: 56, Action: 1
State: 57, Action: 2
State: 58, Action: 3
State: 59, Action: 0
State: 60, Action: 0
State: 61, Action: 0
State: 62, Action: 0
State: 63, Action: 0
